No,CR,d100,GemRoll,Gold,Gems or Art Objects,ItemRoll ,MagicItemTable
1,0-4,01-06,-,-,-,-,-
2,0-4,07-16,2d6 (7),10,gems,-,-
3,0-4,17-26,2d4 (5),25,art objects,-,-
4,0-4,27-36,2d6 (7),50,gems,-,-
5,0-4,37-44,2d6 (7),10,gems,1d6,A
6,0-4,45-52,2d4 (5),25,art objects,1d6,A
7,0-4,53-60,2d6 (7),50,gems,1d6,A
8,0-4,61-65,2d6 (7),10,gems,1d4,B
9,0-4,66-70,2d4 (5),25,art objects,1d4,B
10,0-4,71-75,2d6 (7),50,gems,1d4,B
11,0-4,76-78,2d6 (7),10,gems,1d4,C
12,0-4,79-80,2d4 (5),25,art objects,1d4,C
13,0-4,81-85,2d6 (7),50,gems,1d4,C
14,0-4,86-92,2d4 (5),25,art objects,1d4,F
15,0-4,93-97,2d6 (7),50,gems,1d4,F
16,0-4,98-99,2d4 (5),25,art objects,1,G
17,0-4,0,2d6 (7),50,gems,1,G
18,5-10,01-04,-,-,-,-,-
19,5-10,05-10,2d4 (5),25,art objects,-,-
20,5-10,11-16,3d6 (10),50,gems,-,-
21,5-10,17-22,3d6 (10),100,gems,-,-
22,5-10,23-28,2d4 (5),250,art objects,-,-
23,5-10,29-32,2d4 (5),25,art objects,1d6,A
24,5-10,33-36,3d6 (10),50,gems,1d6,A
25,5-10,37-40,3d6 (10),100,gems,1d6,A
26,5-10,41-44,2d4 (5),250,art objects,1d6,A
27,5-10,45-49,2d4 (5),25,art objects,1d4,B
28,5-10,50-54,3d6 (10),50,gems,1d4,B
29,5-10,55-59,3d6 (10),100,gems,1d4,B
30,5-10,60-63,2d4 (5),250,art objects,1d4,B
31,5-10,64-66,2d4 (5),25,art objects,1d4,C
32,5-10,67-69,3d6 (10),50,gems,1d4,C
33,5-10,70-72,3d6 (10),100,gems,1d4,C
34,5-10,73-74,2d4 (5),250,art objects,1d4,C
35,5-10,75-76,2d4 (5),25,art objects,1,D
36,5-10,77-78,3d6 (10),50,gems,1,D
37,5-10,79,3d6 (10),100,gems,1,D
38,5-10,80,2d4 (5),250,art objects,1,D
39,5-10,81-84,2d4 (5),25,art objects,1d4,F
40,5-10,85-88,3d6 (10),50,gems,1d4,F
41,5-10,89-91,3d6 (10),100,gems,1d4,F
42,5-10,92-94,2d4 (5),250,art objects,1d4,F
43,5-10,95-96,3d6 (10),100,gems,1d4,G
44,5-10,97-98,2d4 (5),250,art objects,1d4,G
45,5-10,99,3d6 (10),100,gems,1,H
46,5-10,0,2d4 (5),250,art objects,1,H
47,11-16,01-03,-,-,-,-,-
48,11-16,04-06,2d4 (5),250,art objects,-,-
